PubmedID,Title,Publication Date,Authors,Company Affiliations,Corresponding Author Email
40066547,Immune-Related Adverse Event of Immunotherapy: Diabetes.,2025 Mar 1,"[{'name': 'Su Q', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhao L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Banfield JM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Lv Z', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Jiang Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhou X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhang Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Fang Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wang Y', 'authtype': 'Author', 'clusterid': ''}]",,N/A
40066520,Awareness and perceived risk of type 2 diabetes among older adults with HIV: results from a qualitative study.,2025 Mar 11,"[{'name': 'Alcantara K', 'authtype': 'Author', 'clusterid': ''}, {'name': ""O'Conor R"", 'authtype': 'Author', 'clusterid': ''}, {'name': 'Masters MC', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Svoboda S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Smith R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Yeh F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wallia A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Bailey SC', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Pack AP', 'authtype': 'Author', 'clusterid': ''}]",,N/A
40066484,Co-Delivery of Morphologically Switchable Au Nanowire and Hemoglobin-Resveratrol Nanoparticles in the Microneedle for Diabetic Wound Healing Therapy.,2025 Mar 11,"[{'name': 'Ye P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Yang Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Liu M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Meng J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhao J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhao J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wang J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Lu Q', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Liu J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wang L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Lei J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wang C', 'authtype': 'Author', 'clusterid': ''}]",,N/A
40066448,BLIMP-1-dependent differentiation of T follicular helper cells into Foxp3(+) T regulatory type 1 cells.,2025,"[{'name': 'Garnica J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Yamanouchi J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Clarke R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Moro J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Thiessen S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Montaño J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mondal D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Serra P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Santamaria P', 'authtype': 'Author', 'clusterid': ''}]",,N/A
40066386,Allergen Immunotherapy in Autoimmune Terrain: A Case Study.,2025 Jan,"[{'name': 'Samajdar SS', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Moitra S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mukherjee S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Pal J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Joshi SR', 'authtype': 'Author', 'clusterid': ''}]",,N/A
40066378,Atypical Presentation of Skull Base Osteomyelitis Involving the Stylomastoid Foramen-A Case Report.,2025 Jan,"[{'name': 'Janakiram TN', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Kumar GA', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Venkatramanan MAR', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sampath S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sathyanarayanan JD', 'authtype': 'Author', 'clusterid': ''}]",,N/A
40066374,Bioactive and degradable collagen-based three-dimensional scaffold encapsulated with adipose mesenchymal stem cells-derived exosomes improved diabetic wound healing.,2025 Mar,"[{'name': 'Talebpour Amiri F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Omraninava M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Shahzamani S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Khodashenas A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Daryakar A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Nasiry D', 'authtype': 'Author', 'clusterid': ''}]",,N/A
40066372,Application of Ultrasound Localization Microscopy in Evaluating the Type 2 Diabetes Progression.,2025,"[{'name': 'Zhang T', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Yan J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhou X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wu B', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhang C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tang M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Huang P', 'authtype': 'Author', 'clusterid': ''}]",,N/A
40066317,Etiologies of exocrine pancreatic insufficiency.,2025,"[{'name': 'Tang C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhou J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Song Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Liu S', 'authtype': 'Author', 'clusterid': ''}]",,N/A
40066291,Asiaticoside-nitric oxide synergistically accelerate diabetic wound healing by regulating key metabolites and SRC/STAT3 signaling.,2025,"[{'name': 'Mu X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Chen J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhu H', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Deng J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wu X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'He W', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ye P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gu R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wu Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Han F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Nie X', 'authtype': 'Author', 'clusterid': ''}]",,N/A
